entity_name,sector,sub_sector,domain,scan_targets,meets_proposed_threshold,notes
Unison Networks,Energy,Electricity Distribution,unison.co.nz,unison.co.nz:443,Yes,"Hawke's Bay, Taupo, Rotorua EDB; ~115k ICPs"
WEL Networks,Energy,Electricity Distribution,wel.co.nz,wel.co.nz:443,Yes,"Waikato region EDB; ~95k ICPs"
PowerNet,Energy,Electricity Distribution,powernet.co.nz,powernet.co.nz:443,Yes,"Manages 4 networks in Southland/Otago; 77k+ consumers combined"
Horizon Energy,Energy,Electricity Distribution,horizonenergy.net.nz,horizonenergy.net.nz:443,Yes,"Eastern Bay of Plenty EDB; ~25k ICPs"
Top Energy,Energy,Electricity Distribution,topenergy.co.nz,topenergy.co.nz:443,Yes,"Far North EDB; ~33k ICPs; also operates geothermal generation"
MainPower,Energy,Electricity Distribution,mainpower.co.nz,mainpower.co.nz:443,Borderline,"North Canterbury EDB; ~38k ICPs; consumer-owned"
Firstgas,Energy,Gas Transmission & Distribution,firstgas.co.nz,firstgas.co.nz:443,Yes,"Owns/operates NZ gas transmission (2500km+) and distribution; transports 80%+ of NZ gas"
Z Energy,Energy,Fuel Supply & Storage,z.co.nz,z.co.nz:443,Yes,"Ampol-owned; major fuel distributor; 210 branded stations; bulk storage terminals"
BP New Zealand,Energy,Fuel Supply & Storage,bp.co.nz,bp.co.nz:443,Yes,"Major fuel distributor; bulk storage terminals nationwide"
Mobil New Zealand,Energy,Fuel Supply & Storage,mobil.co.nz,mobil.co.nz:443,Yes,"ExxonMobil subsidiary; 167 stations; bulk storage terminals"
Channel Infrastructure,Energy,Fuel Import Terminal,channelnz.com,channelnz.com:443,Yes,"Marsden Point fuel import terminal; handles ~40% of NZ refined fuel imports; pipeline to Auckland"
Reserve Bank of NZ,Finance,Central Bank,rbnz.govt.nz,rbnz.govt.nz:443,Yes,"Central bank; monetary policy, prudential regulation, FMI oversight"
ANZ New Zealand,Finance,Systemically Important Bank,anz.co.nz,anz.co.nz:443,Yes,"Largest NZ bank by assets; designated systemically important"
ASB Bank,Finance,Systemically Important Bank,asb.co.nz,asb.co.nz:443,Yes,"CBA subsidiary; designated systemically important bank"
BNZ,Finance,Systemically Important Bank,bnz.co.nz,bnz.co.nz:443,Yes,"NAB subsidiary; designated systemically important bank"
Westpac NZ,Finance,Systemically Important Bank,westpac.co.nz,westpac.co.nz:443,Yes,"Westpac subsidiary; designated systemically important bank"
Kiwibank,Finance,Systemically Important Bank,kiwibank.co.nz,kiwibank.co.nz:443,Yes,"NZ-owned bank; designated domestically systemically important"
NZX,Finance,Securities Exchange,nzx.com,nzx.com:443,Yes,"NZ stock exchange; operates securities market and clearing (NZCDC)"
Payments NZ,Finance,Payment System,paymentsnz.co.nz,paymentsnz.co.nz:443,Yes,"Governs NZ core payment clearing systems; retail and wholesale payments"
Health NZ / Te Whatu Ora,Health,National Health Service,tewhatuora.govt.nz,tewhatuora.govt.nz:443,Yes,"National health system; replaced 20 DHBs; operates all public hospitals"
Auckland City Hospital,Health,Tertiary Hospital (ICU),adhb.health.nz,adhb.health.nz:443,Yes,"NZ largest hospital; major ICU; tertiary referral centre"
Middlemore Hospital,Health,Tertiary Hospital (ICU),countiesmanukau.health.nz,countiesmanukau.health.nz:443,Yes,"Major South Auckland hospital; ICU; National Burns Centre"
North Shore Hospital,Health,Secondary Hospital (ICU),waitematadhb.govt.nz,waitematadhb.govt.nz:443,Yes,"Major North Auckland hospital; ICU services"
Waikato Hospital,Health,Tertiary Hospital (ICU),waikatodhb.health.nz,waikatodhb.health.nz:443,Yes,"Central North Island tertiary hospital; ICU; cardiac surgery, neurology"
Tauranga Hospital,Health,Secondary Hospital (ICU),bopdhb.govt.nz,bopdhb.govt.nz:443,Yes,"Bay of Plenty regional hospital; ICU services"
Wellington Regional Hospital,Health,Tertiary Hospital (ICU),ccdhb.org.nz,ccdhb.org.nz:443,Yes,"Largest ICU in NZ (36 beds); tertiary referral for lower North/upper South Island"
Christchurch Hospital,Health,Tertiary Hospital (ICU),cdhb.health.nz,cdhb.health.nz:443,Yes,"South Island tertiary hospital; major ICU"
Dunedin Hospital,Health,Tertiary Hospital (ICU),southerndhb.govt.nz,southerndhb.govt.nz:443,Yes,"Southern South Island tertiary hospital; ICU; being rebuilt"
Air New Zealand,Transport,National Airline,airnewzealand.co.nz,airnewzealand.co.nz:443,Yes,"Flag carrier; Crown retains majority stake; critical domestic and international connectivity"
KiwiRail,Transport,Rail & Ferry,kiwirail.co.nz,kiwirail.co.nz:443,Yes,"SOE; national rail network operator; operates Interislander Cook Strait ferries"
NZTA / Waka Kotahi,Transport,Road & Land Transport,nzta.govt.nz,nzta.govt.nz:443,Yes,"Crown entity; manages state highways, driver/vehicle licensing, road safety"
Auckland Transport,Transport,Regional Transport,at.govt.nz,at.govt.nz:443,Yes,"Auckland CCO; manages Auckland public transport, roads, parking"
Auckland Airport,Transport,International Airport,aucklandairport.co.nz,aucklandairport.co.nz:443,Yes,"NZ largest airport; 18.9M passengers (2025); strategic international gateway"
Wellington Airport,Transport,International Airport,wellingtonairport.co.nz,wellingtonairport.co.nz:443,Yes,"Capital city airport; key domestic hub and Cook Strait connectivity"
Christchurch Airport,Transport,International Airport,christchurchairport.co.nz,christchurchairport.co.nz:443,Yes,"South Island main international airport; strategic for South Island connectivity"
Queenstown Airport,Transport,Regional Airport,queenstownairport.co.nz,queenstownairport.co.nz:443,Borderline,"Major tourism gateway; high traffic but sub-major regulatory threshold"
Ports of Auckland,Transport,Seaport,poal.co.nz,poal.co.nz:443,Yes,"NZ largest import port (51% of imports by value); Auckland Council-owned"
Port of Tauranga,Transport,Seaport,port-tauranga.co.nz,port-tauranga.co.nz:443,Yes,"NZ largest port by cargo volume and container throughput; 48% of exports"
Lyttelton Port Company,Transport,Seaport,lpc.co.nz,lpc.co.nz:443,Yes,"South Island largest port; NZ second-largest export hub"
CentrePort Wellington,Transport,Seaport,centreport.co.nz,centreport.co.nz:443,Yes,"Wellington region gateway; critical Cook Strait freight connectivity"
South Port,Transport,Seaport,southport.co.nz,southport.co.nz:443,Yes,"Southland/Bluff port; critical for South Island supply chain"
Napier Port,Transport,Seaport,napierport.co.nz,napierport.co.nz:443,Yes,"North Island second-largest export port by tonnage; NZX-listed"
Northport,Transport,Seaport,northport.co.nz,northport.co.nz:443,Yes,"Northland deep-water port at Marsden Point; adjacent to fuel terminal"
Eastland Port,Transport,Seaport,eastlandport.nz,eastlandport.nz:443,Borderline,"Gisborne port; smaller but regionally significant for East Coast"
PrimePort Timaru,Transport,Seaport,primeport.co.nz,primeport.co.nz:443,Borderline,"South Canterbury port; NZ second-largest fishing port"
Watercare Services,Drinking Water & Wastewater,Water Supply & Wastewater,watercare.co.nz,watercare.co.nz:443,Yes,"NZ largest water utility; serves Auckland (~1.7M people); Auckland Council CCO"
Wellington Water,Drinking Water & Wastewater,Water Supply & Wastewater,wellingtonwater.co.nz,wellingtonwater.co.nz:443,Yes,"Manages water for Wellington metro councils; ~400k people served"
Christchurch City Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,ccc.govt.nz,ccc.govt.nz:443,Yes,"Manages water supply and wastewater for Christchurch; ~380k people"
Devoli,Communications & Data,Telecommunications,devoli.com,devoli.com:443,Yes,"Wholesale-only telco; NZ 4th largest; ~153k end-user connections via 300+ MSP/RSP partners"
Enable Networks,Communications & Data,Fixed-line Infrastructure,enable.net.nz,enable.net.nz:443,Yes,"Local Fibre Company (LFC) for Christchurch; ~155k fibre connections; council-owned"
Tuatahi First Fibre,Communications & Data,Fixed-line Infrastructure,tuatahifibre.co.nz,tuatahifibre.co.nz:443,Yes,"LFC for Waikato, Bay of Plenty, Taranaki, Whanganui; ~120k fibre connections; formerly Ultrafast Fibre"
Northpower Fibre,Communications & Data,Fixed-line Infrastructure,northpower.nz,northpower.nz:443,Yes,"LFC for Whangarei and Kaipara; ~26k fibre connections; community-owned"
Voyager,Communications & Data,Telecommunications,voyager.nz,voyager.nz:443,Borderline,"NZ-owned ISP; acquired Actrix, Net24; exact connection count undisclosed but likely near threshold"
GCSB,Defence,Signals Intelligence,gcsb.govt.nz,gcsb.govt.nz:443,Yes,"Government Communications Security Bureau; SIGINT agency; houses NCSC"
NZSIS,Defence,Security Intelligence,nzsis.govt.nz,nzsis.govt.nz:443,Yes,"NZ Security Intelligence Service; domestic security intelligence agency"
NCSC,Defence,Cyber Security,ncsc.govt.nz,ncsc.govt.nz:443,Yes,"National Cyber Security Centre; part of GCSB; absorbed CERT NZ July 2024"
DIA,Defence,Government Digital Services,dia.govt.nz,dia.govt.nz:443,Yes,"Department of Internal Affairs; manages RealMe digital identity; births/deaths/marriages registry"
Aurora Energy,Energy,Electricity Distribution,auroraenergy.co.nz,auroraenergy.co.nz:443,Yes,"Dunedin, Central Otago, Queenstown-Lakes EDB; ~91,600 ICPs"
Counties Energy,Energy,Electricity Distribution,countiesenergy.co.nz,countiesenergy.co.nz:443,Yes,"Franklin/South Auckland/North Waikato EDB; ~50,000 ICPs; formerly Counties Power"
Electra,Energy,Electricity Distribution,electra.co.nz,electra.co.nz:443,Yes,"Kapiti-Horowhenua EDB; ~47,000 ICPs; consumer trust owned"
Network Tasman,Energy,Electricity Distribution,networktasman.co.nz,networktasman.co.nz:443,Yes,"Nelson/Tasman EDB; ~53,000 ICPs (incl Nelson Electricity); consumer trust owned"
Alpine Energy,Energy,Electricity Distribution,alpineenergy.co.nz,alpineenergy.co.nz:443,Yes,"South Canterbury EDB; ~33,800 ICPs; consumer trust owned"
Marlborough Lines,Energy,Electricity Distribution,marlboroughlines.co.nz,marlboroughlines.co.nz:443,Borderline,"Marlborough region EDB; ~26,000 ICPs; just over threshold"
Eastland Network,Energy,Electricity Distribution,eastlandnetwork.nz,eastlandnetwork.nz:443,Borderline,"Tairawhi/Wairoa EDB; ~26,000 ICPs; owned by Igneo/Firstgas Group"
Nova Energy,Energy,Electricity Generation,novaenergy.co.nz,novaenergy.co.nz:443,Yes,"Todd Corporation subsidiary; ~202 MW generation (gas + solar); major gas retailer"
Manawa Energy,Energy,Electricity Generation,manawaenergy.co.nz,manawaenergy.co.nz:443,Yes,"~510 MW across 25 hydro schemes; acquired by Contact Energy July 2025; formerly Trustpower generation"
Pioneer Energy,Energy,Electricity Generation,pioneerenergy.co.nz,pioneerenergy.co.nz:443,Yes,"~95 MW across 18 hydro and 3 wind farms; Otago-based; also retails electricity"
TSB Bank,Finance,Registered Bank,tsb.co.nz,tsb.co.nz:443,Borderline,"RBNZ-registered; ~$9.4B total assets; Taranaki-based; NZ-owned; not D-SIB"
SBS Bank,Finance,Registered Bank,sbsbank.co.nz,sbsbank.co.nz:443,Borderline,"RBNZ-registered; ~$6.7B total assets; Southland-based; mutual/co-operative"
The Co-operative Bank,Finance,Registered Bank,co-operativebank.co.nz,co-operativebank.co.nz:443,Borderline,"RBNZ-registered; ~$3.3B total assets; smallest registered bank; customer-owned"
Heartland Bank,Finance,Registered Bank,heartland.co.nz,heartland.co.nz:443,Borderline,"RBNZ-registered; ~$7.7B total assets; NZX-listed; specialist lender"
IAG NZ,Finance,Insurance,iag.co.nz,iag.co.nz:443,Yes,"Largest NZ general insurer (~45% market share); brands: AMI, State, NZI, Lumley"
Vero Insurance,Finance,Insurance,vero.co.nz,vero.co.nz:443,Yes,"Second-largest NZ general insurer; Suncorp NZ subsidiary; also operates AA Insurance JV"
Palmerston North Hospital,Health,Secondary Hospital (ICU),midcentraldhb.govt.nz,midcentraldhb.govt.nz:443,Yes,"354 beds; ICU + CCU; catchment ~170k (MidCentral region)"
Hutt Hospital,Health,Secondary Hospital (ICU),huttvalleydhb.org.nz,huttvalleydhb.org.nz:443,Yes,"8-bed ICU; catchment ~145k (Lower/Upper Hutt)"
Nelson Hospital,Health,Secondary Hospital (ICU),nmdhb.govt.nz,nmdhb.govt.nz:443,Yes,"~9 ICU beds; catchment ~170k (Nelson-Marlborough); major redevelopment underway"
Hawke's Bay Hospital,Health,Secondary Hospital (ICU),hawkesbay.health.nz,hawkesbay.health.nz:443,Yes,"364 beds; ICU; catchment ~200k (Hawke's Bay)"
Taranaki Base Hospital,Health,Secondary Hospital (ICU),tdhb.org.nz,tdhb.org.nz:443,Yes,"194 beds; ICU; catchment ~120k (Taranaki)"
Rotorua Hospital,Health,Secondary Hospital (ICU),lakesdhb.govt.nz,lakesdhb.govt.nz:443,Yes,"6 ICU beds; catchment ~116k (Rotorua/Taupo/Lakes)"
Southland Hospital,Health,Secondary Hospital (ICU),southernhealth.nz,southernhealth.nz:443,Yes,"Critical Care Unit; 157+ beds; catchment ~130k (Southland/Invercargill)"
Airways NZ,Transport,Air Traffic Control,airways.co.nz,airways.co.nz:443,Yes,"SOE; sole air navigation service provider; manages 500k+ flights/year across NZ airspace"
Maritime NZ,Transport,Maritime Safety,maritimenz.govt.nz,maritimenz.govt.nz:443,Yes,"Crown entity; maritime safety authority; operates NMDSCS distress/safety comms; lifeline utility"
Port Otago,Transport,Seaport,portotago.co.nz,portotago.co.nz:443,Yes,"Dunedin/Port Chalmers; Otago Regional Council-owned; significant South Island cargo port"
Port Nelson,Transport,Seaport,portnelson.co.nz,portnelson.co.nz:443,Yes,"Top of South Island gateway; ~3.3M tonnes/year; largest seafood processing port in Australasia"
Port Marlborough,Transport,Seaport,portmarlborough.co.nz,portmarlborough.co.nz:443,Yes,"Picton; South Island terminal for inter-island ferries; critical Cook Strait link"
Dunedin Airport,Transport,Regional Airport,dunedinairport.co.nz,dunedinairport.co.nz:443,Borderline,"~903k domestic passengers (2024); resumed international flights June 2025"
Hamilton Airport,Transport,Regional Airport,hamiltonairport.co.nz,hamiltonairport.co.nz:443,Borderline,"Growing rapidly; new international services; serves Waikato region (~500k people)"
Hawke's Bay Airport,Transport,Regional Airport,hawkesbay-airport.co.nz,hawkesbay-airport.co.nz:443,Borderline,"~612k passengers (FY2025); 3rd busiest North Island airport"
Hamilton City Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,hamilton.govt.nz,hamilton.govt.nz:443,Yes,"53k+ connections; ~180k people served; transitioning to IAWAI joint CCO"
Tauranga City Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,tauranga.govt.nz,tauranga.govt.nz:443,Yes,"~39k metered connections; ~163k population"
Dunedin City Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,dunedin.govt.nz,dunedin.govt.nz:443,Yes,"~129k population; 6 treatment stations; 1450km pipes"
Palmerston North City Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,pncc.govt.nz,pncc.govt.nz:443,Yes,"30,335 water connections; ~92k population"
New Plymouth District Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,npdc.govt.nz,npdc.govt.nz:443,Yes,"~28k water connections; ~90k population"
Napier City Council (Water),Drinking Water & Wastewater,Water Supply & Wastewater,napier.govt.nz,napier.govt.nz:443,Yes,"Part of HB region (144k people, 52k connections); forming joint WSCCO"
